ID,Laptop_name,Price,URL,Reviews
PRD7EQKFIA07OFC,"Lenovo IdeaPad 1 Laptop, 14"" FHD Display, Intel Celeron N4020 Upto 2.8GHz, 4GB RAM, 128GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 11 Pro S",$248.99,https://www.walmart.ca//en/ip/Lenovo-IdeaPad-1-Laptop-14-FHD-Display-Intel-Celeron-N4020-Upto-2-8GHz-4GB-RAM-128GB-NVMe-SSD-HDMI-Card-Reader-Wi-Fi-Bluetooth-Windows-11-Pro-S/7EQKFIA07OFC?from=/search,5
3XPPR64JG6I9,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Silver","$1,449",https://www.walmart.ca//en/ip/2022-Apple-MacBook-Air-Laptop-with-M2-chip-13-6-inch-Liquid-Retina-Display-8GB-RAM-256GB-SSD-Storage-Silver/6NNGJN3AK0E9?from=/search,5
6000206080132,"ASUS Chromebook CX1 Laptop, 15.6"" HD Anti-glare Display, Intel Celeron N5100 Processor, 64GB eMMC Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1500CKA-DH02-CB",$410.24,https://www.walmart.ca//en/ip/asus-chromebook-cx1-laptop-156-hd-anti-glare-display-intel-celeron-n5100-processor-64gb-emmc-storage-4gb-ram-chromeos-transparent-silver-cx1500cka-dh0/6000206080133?from=/search,5
PRD41ZL3J7UH76K,Used Dell Latitude 5411 14 inch Screen Intel Core i5 10th Gen 8GB DDR4 RAM 256GB SSD Windows 10 Pro IntelÂ® UHD graphics Laptop  Computer,$457.99,https://www.walmart.ca//en/ip/Used-Dell-Latitude-5411-14-inch-Screen-Intel-Core-i5-10th-Gen-8GB-DDR4-RAM-256GB-SSD-Windows-10-Pro-Intel-UHD-graphics-Laptop-Computer/41ZL3J7UH76K?from=/search,0
6000206480746,HP 17.3-inch Laptop PC 17-CN3009CA,$649.98,https://www.walmart.ca//en/ip/hp-173-inch-laptop-pc-17-cn3009ca-hp-laptop-17-cn3009ca-natural-silver/6000206480747?from=/search,5
6000206480931,"Acer Aspire 1 A115-32-C0MW 15.6"" FHD Laptop Intel N4500",$329.98,https://www.walmart.ca//en/ip/acer-aspire-1-a115-32-c0mw-156-fhd-laptop-intel-n4500-pure-silver/6000206480932?from=/search,4
PRD1YV1XO06WF1K,"Acer Chromebook 311 11.6"" MediaTek Cortex A73  CB311-11H-K99B.",$299.98,https://www.walmart.ca//en/ip/acer-chromebook-311-116-mediatek-cortex-a73-cb311-11h-k99b-pure-silver/1YV1XO06WF1K?from=/search,4
PRD32CLGZ8EZMOB,Lenovo Ideapad 1 15.6 inch Full HD Laptop Ryzen 3 7320U 8GB 256GB SSD Windows 11 Home Abyss Blue,$472,https://www.walmart.ca//en/ip/Lenovo-Ideapad-1-15-6-inch-Full-HD-Laptop-Ryzen-3-7320U-8GB-256GB-SSD-Windows-11-Home-Abyss-Blue/32CLGZ8EZMOB?from=/search,4
PRD5NOJD4D6NMU9,"Laptop Computer,15.6in Laptop 16GB RAM Portable Laptop Laptop Computer Top of the Line",$494.69,https://www.walmart.ca//en/ip/Laptop-Computer-15-6in-Laptop-16GB-RAM-Portable-Laptop-Laptop-Computer-Top-of-the-Line/5NOJD4D6NMU9?from=/search,0
PRD55Z96NI0KXMR,"HP Laptop 14-dq2020ca - Intel Core i3 1125G4 - Win 10 Home in S mode - UHD Graphics - 4 GB RAM - 128 GB SSD TLC - 14"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6 - natural silver",$375.89,https://www.walmart.ca//en/ip/HP-Laptop-14-dq2020ca-Intel-Core-i3-1125G4-Win-10-Home-S-mode-UHD-Graphics-4-GB-RAM-128-SSD-TLC-14-IPS-1920-x-1080-Full-HD-Wi-Fi-6-natural-silver/55Z96NI0KXMR?from=/search,4
6000206399372,"Asus Chromebook CX1 14"" Laptop Intel Celeron N4500 CX1400CKA-WS01-CB",$359.98,https://www.walmart.ca//en/ip/asus-chromebook-cx1-14-laptop-intel-celeron-n4500-cx1400cka-ws01-cb-transparent-silver/6000206399373?from=/search,4
3PQAPKI6RWCK,"Lenovo Ideapad 1 14"" FHD Laptop Intel Celeron N4020, 4GB RAM, 128GB SSD | Brand New",$255,https://www.walmart.ca//en/ip/Lenovo-Ideapad-1-14-FHD-Laptop-Intel-Celeron-N4020-4GB-RAM-128GB-SSD-Brand-New/18J92MYW2S24?from=/search,0
PRD596DL5DMC39I,"ASUS L410 Ultra Thin Laptop, 14” FHD Display, Intel® Pentium® N5030, 4GB RAM, 128GB Storage, NumberPad, 1 Year Microsoft 365, Star Black",$399.98,https://www.walmart.ca//en/ip/asus-l410-ultra-thin-laptop-14-fhd-display-intel-pentium-n5030-4gb-ram-128gb-storage-numberpad-1-year-microsoft-365-star-black-star-black/596DL5DMC39I?from=/search,4
PRD5XRNLEOKJOHS,"Intel CP Laptop,15.6in Laptop 16GB RAM Laptop Laptop Computer Versatile Functionality",$506.59,https://www.walmart.ca//en/ip/Intel-CP-Laptop-15-6in-Laptop-16GB-RAM-Laptop-Laptop-Computer-Versatile-Functionality/5XRNLEOKJOHS?from=/search,0
6000206082163,"ASUS Chromebook Vibe CX34 Flip cloud gaming laptop, 14"" 144 Hz Touch Display (1920x1200), Intel® Core™ i3-1215U Processor, 128GB SSD, 8GB RAM, ChromeOS, Pearl White, CX3401FBA-DS31T-CB",$898.98,https://www.walmart.ca//en/ip/asus-chromebook-vibe-cx34-flip-cloud-gaming-laptop-14-144-hz-touch-display-1920x1200-intel-core-i3-1215u-processor-128gb-ssd-8gb-ram-chromeos-pearl-wh/6000206082164?from=/search,3
6000206702362,"Acer Aspire 3 A315-24P-R4GW 15.6"" FHD Laptop AMD Athlon AAN7120U",$499.98,https://www.walmart.ca//en/ip/acer-aspire-3-a315-24p-r4gw-156-fhd-laptop-amd-athlon-aan7120u-pure-silver/6000206702363?from=/search,5
PRD6WYZ86HP1ED5,"HP 15.6"" Full HD Laptop i5-1135G7 8GB 256GB SSD Windows 11 Natural Silver",$598,https://www.walmart.ca//en/ip/HP-15-6-Full-HD-Laptop-i5-1135G7-8GB-256GB-SSD-Windows-11-Natural-Silver/6WYZ86HP1ED5?from=/search,4
6000206481225,"Acer Aspire 1 A115-32-C4QM 15.6"" FHD Laptop Intel N4500",$349.98,https://www.walmart.ca//en/ip/acer-aspire-1-a115-32-c4qm-156-fhd-laptop-intel-n4500-pure-silver/6000206481226?from=/search,4
6000206481027,"Acer Chromebook CB315-3H-C8GC 15.6"" FHD Intel N4020",$369.98,https://www.walmart.ca//en/ip/acer-chromebook-cb315-3h-c8gc-156-fhd-intel-n4020-pure-silver/6000206481028?from=/search,4
4FKPZV4VYH69,10.1inch Netbook Lightweight Portable Laptop ACTIONS S500 1. ARM Cortex-A9/Android 5.1/1G+8G/1024*600 Black Plug,$137.99,https://www.walmart.ca//en/ip/10-1inch-Netbook-Lightweight-Portable-Laptop-ACTIONS-S500-1-ARM-Cortex-A9-Android-5-1-1G-8G-1024-600-Black-Plug/0V6KN0VPIR48?from=/search,2
6000207265461,"Acer Aspire 3 A317-55P-C76Y 17.3"" Laptop Intel Celeron N100",$399.98,https://www.walmart.ca//en/ip/acer-aspire-3-a317-55p-c76y-173-laptop-intel-celeron-n100-steel-gray/6000207265462?from=/search,3
PRD7DBJVGQK9YO2,"ASUS L510MA DS09 - 180-degree hinge design - Intel Celeron N4020 / 1.1 GHz - Win 10 Home in S mode - UHD Graphics 600 - 4 GB RAM - 64 GB eMMC - 15.6"" 1366 x 768 (HD) - Wi-Fi 5 - star black - with 1 year Domestic ADP with product registration",$347.30,https://www.walmart.ca//en/ip/ASUS-L510MA-DS09-180-degree-hinge-design-Intel-Celeron-N4020-1-1-GHz-Win-10-Home-S-mode-UHD-Graphics-600-4-GB-RAM-64-eMMC-15-6-1366-x-768-HD-Wi-Fi-5/7DBJVGQK9YO2?from=/search,4
PRD21SBQJL17SY0,"15.6in Laptop, Business Student Laptop Computer Window11 Notebook  LPDDR4 12GB With Fingerprint Keypad Backlight Keyboard, For  N5095 CPU, 6000mAh Battery",$426,https://www.walmart.ca//en/ip/15-6in-Laptop-Business-Student-Laptop-Computer-Window11-Notebook-LPDDR4-12GB-With-Fingerprint-Keypad-Backlight-Keyboard-For-N5095-CPU-6000mAh-Battery/21SBQJL17SY0?from=/search,0
PRD5Y396NDOZHR7,"HP Zbook Studio G3 Workstation Laptop-Intel Core i7-6700HQ 2.6Ghz,16GB (upgradeable to 32GB) ,512GB NVMe SSD, NVIDIA Quadro M1000M 2GB Video Card, 15.6"" ,Win 10 PRO - 1 Year Warranty",$699.99,https://www.walmart.ca//en/ip/HP-Zbook-Studio-G3-Workstation-Laptop-Intel-Core-i7-6700HQ-2-6Ghz-16GB-upgradeable-32GB-512GB-NVMe-SSD-NVIDIA-Quadro-M1000M-2GB-Video-Card-15-6-Win-1/5Y396NDOZHR7?from=/search,0
PRD4EFIDBQHKVOX,"Acer Aspire 3 15.6"" Laptop AMD Ryzen 3 3250U A315-23-R73N",$599.98,https://www.walmart.ca//en/ip/acer-aspire-3-156-laptop-amd-ryzen-3-3250u-a315-23-r73n-silver/4EFIDBQHKVOX?from=/search,4
PRD5K35YNHGTXK3,"Asus ExpertBook 14"" FHD i5-1135G7 8GB 256GB Intel Iris Xe Graphics Win10 Home",$549.99,https://www.walmart.ca//en/ip/Asus-ExpertBook-14-FHD-i5-1135G7-8GB-256GB-Intel-Iris-Xe-Graphics-Win10-Home/5K35YNHGTXK3?from=/search,0
6000206524632,"Asus Vivobook Go 15 15.6"" Laptop AMD Ryzen 3 7320U E1504FA-DB31-CA-SL",$609.99,https://www.walmart.ca//en/ip/asus-vivobook-go-15-156-laptop-amd-ryzen-3-7320u-e1504fa-db31-ca-sl-cool-silver/6000206524633?from=/search,4
PRD7HANFQ1M7HXJ,"Lenovo IdeaPad 3 14IGL05 81WH - Intel Pentium Silver N5030 / 1.1 GHz - Win 10 Home in S mode - UHD Graphics 605 - 4 GB RAM - 128 GB SSD NVMe - 14"" TN 1366 x 768 (HD) - Wi-Fi 5 - platinum gray - kbd: US",$499.99,https://www.walmart.ca//en/ip/Lenovo-IdeaPad-3-14IGL05-81WH-Intel-Pentium-Silver-N5030-1-1-GHz-Win-10-Home-S-mode-UHD-Graphics-605-4-GB-RAM-128-SSD-NVMe-14-TN-1366-x-768-HD-Wi-Fi-/7HANFQ1M7HXJ?from=/search,3
PRD3KU4ID06NBHN,"Notebook Computer,Laptop 15.6in for Intel HD Laptop Laptop High-End Performance",$514.29,https://www.walmart.ca//en/ip/Notebook-Computer-Laptop-15-6in-for-Intel-HD-Laptop-Laptop-High-End-Performance/3KU4ID06NBHN?from=/search,0
PRD64VUHG7EH9ZA,"HP 15"" Laptop Intel Pentium N5030 4GB 128GB SSD 10 hr Battery Black Windows 11",$389,https://www.walmart.ca//en/ip/HP-15-Laptop-Intel-Pentium-N5030-4GB-128GB-SSD-10-hr-Battery-Black-Windows-11/64VUHG7EH9ZA?from=/search,4
6000205735569,"Thomson Neo Notebook  15.6""",$229.98,https://www.walmart.ca//en/ip/thomson-neo-notebook-156-silver/6000205735570?from=/search,2
6000205734820,"Thomson Neo Notebook  17,3 """,$389.98,https://www.walmart.ca//en/ip/thomson-neo-notebook-173-silver/6000205734821?from=/search,2
PRD3EC8JCVASPJC,Business Class Laptop HP EliteBook 820 G2 NoteBook 12.5 inch Intel Core i5 5300U upto Max Turbo Frequency 2.9GHz 16GB RAM 512GB SSD Windows 10 Pro WiFi Display port A Grade,$552.99,https://www.walmart.ca//en/ip/Business-Class-Laptop-HP-EliteBook-820-G2-NoteBook-12-5-inch-Intel-Core-i5-5300U-upto-Max-Turbo-Frequency-2-9GHz-16GB-RAM-512GB-SSD-Windows-10-Pro-Wi/3EC8JCVASPJC?from=/search,0
6000206481489,HP 17.3-inch Laptop PC 17-CN3010CA,$999.98,https://www.walmart.ca//en/ip/hp-173-inch-laptop-pc-17-cn3010ca-natural-silver/6000206481490?from=/search,5
6000206481718,"Acer 3 Spin A3SP14-31PT-C3HE 14"" FHD+ IPS Touch  Laptop Intel N100",$549.98,https://www.walmart.ca//en/ip/acer-3-spin-a3sp14-31pt-c3he-14-fhd-ips-touch-laptop-intel-n100-4gb-ram-128gb-storage-pure-silver/6000206481719?from=/search,5
PRD1W3MLULN4VL5,"HP Stream 14-Inch Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb184nr, Rose Pink)",$464.93,https://www.walmart.ca//en/ip/HP-Stream-14-Inch-Laptop-Intel-Celeron-N4000-4-GB-RAM-32-eMMC-Windows-10-Home-S-Mode-With-Office-365-Personal-For-1-Year-14-cb184nr-Rose-Pink/1W3MLULN4VL5?from=/search,4
32T7QSNMA8N7,"Apple 2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Starlight","$1,999",https://www.walmart.ca//en/ip/Apple-2023-MacBook-Air-Laptop-M2-chip-15-3-inch-Liquid-Retina-Display-8GB-Unified-Memory-512GB-SSD-Storage-1080p-FaceTime-HD-Camera-Touch-ID-Works-iP/78L44BBI0RHK?from=/search,0
PRD2TWIW8I7A7L2,ASUS VivoBook 15 X515 Thin and Light Laptop,$598.11,https://www.walmart.ca//en/ip/asus-vivobook-15-x515-thin-and-light-laptop-slate-grey/2TWIW8I7A7L2?from=/search,4
6000206482157,"HP 15-fc0030ca Laptop 15.6"" FHD IPS AMD Ryzen 5 7520U 16GB RAM 1TB SSD AMD Radeon Graphics Win 11 Natural silver",$999.98,https://www.walmart.ca//en/ip/hp-15-fc0030ca-laptop-156-fhd-ips-amd-ryzen-5-7520u-16gb-ram-1tb-ssd-amd-radeon-graphics-win-11-natural-silver-natural-silver/6000206482158?from=/search,2
6000206399536,Asus Vivobook 15 X515 15.6” Laptop Intel Core i3-1115G4 X515EA-WB31-CB,$599.98,https://www.walmart.ca//en/ip/asus-vivobook-15-x515-156-laptop-intel-core-i3-1115g4-x515ea-wb31-cb-slate-grey/6000206399537?from=/search,4
PRD3VICRNIIG32U,"Geo GeoBook 240 128GB SSD 8GB Ram 14.1"" FHD Laptop | Intel Pentium Silver Quad Core Processor",$219,https://www.walmart.ca//en/ip/Geo-GeoBook-240-128GB-SSD-8GB-Ram-14-1-FHD-Laptop-Intel-Pentium-Silver-Quad-Core-Processor/3VICRNIIG32U?from=/search,1
PRD724L96GJMPD1,"Asus X512DA-BTS2020RL 15.6"" Full HD Laptop",$419.97,https://www.walmart.ca//en/ip/Asus-X512DA-BTS2020RL-15-6-Full-HD-Laptop/724L96GJMPD1?from=/search,4
PRD1BON9OFS0A80,"Referbished HP EliteBook 840 G3 Notebook, 14"" FHD Display, Intel Core i5-6300U Upto 3.0GHz, 8GB RAM, 256GB SSD, VGA, DisplayPort, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro (8DZ57UT)",$579.99,https://www.walmart.ca//en/ip/Referbished-HP-EliteBook-840-G3-Notebook-14-FHD-Display-Intel-Core-i5-6300U-Upto-3-0GHz-8GB-RAM-256GB-SSD-VGA-DisplayPort-Card-Reader-Wi-Fi-Bluetooth/1BON9OFS0A80?from=/search,0
